Day,Confirmed,Deaths,Recovered,Active,Case_Fatality_Ratio
2021-01-02,0.0,0.0,0.0,0.15665006934951153,0.9355261031291855
2021-01-03,0.0035421190151989634,0.004721263846014234,0.005699337700012741,0.14682139756727902,0.9441551521659823
2021-01-04,0.007275144444853332,0.007626656982022917,0.011273239796383727,0.13846952113912808,0.9364967444468046
2021-01-05,0.010660858204835644,0.011439985473034375,0.016042073382108724,0.13208337906742368,0.9390553390757264
2021-01-06,0.014232878224708312,0.01416379153804248,0.01993513838968053,0.13039703842661426,0.9313783330698815
2021-01-07,0.017027472123063325,0.016524423461049653,0.023620664489408583,0.12626600277398048,0.927248661952393
2021-01-08,0.019539156515658962,0.020337751952061,0.026015344195296386,0.12647554806070826,0.936937482314768
2021-01-09,0.021370018032605964,0.023969493372071993,0.029641573464212034,0.11835317361325921,0.950674318112724
2021-01-10,0.024245114635851772,0.026693299437080098,0.033751299968983184,0.11269545087160861,0.9487083127499876
2021-01-11,0.02760552754572554,0.030143453786090513,0.03750296484154059,0.11066984643323986,0.9485138708336365
2021-01-12,0.030310418430059216,0.036135827129108455,0.04132076848692734,0.10537134418312262,0.9733904807496412
2021-01-13,0.032891105141132804,0.03885963319411656,0.044575252239595686,0.10217827314727042,0.9737287984885254
2021-01-14,0.035363688219924194,0.041765026330125354,0.04747395500738927,0.10006286358601833,0.9763364693623631
2021-01-15,0.03722215066426238,0.04430724532413299,0.049533379554452694,0.09897522376443117,0.9810484778093631
2021-01-16,0.03884600522577564,0.047212638460141676,0.053045576456421384,0.09049362882544877,0.9904086743217864
2021-01-17,0.041047179185220606,0.04866533502814607,0.056747067087522085,0.08376822295618508,0.9839652693515895
2021-01-18,0.04341625878629518,0.05011803159615036,0.06010417997044282,0.07927796681201792,0.976226902108337
2021-01-19,0.04544722702682813,0.05320501180315962,0.06364602528781771,0.07242284243192272,0.9836724194952318
2021-01-20,0.047696702609207664,0.05629199201016888,0.06641701180463055,0.06988834229721504,0.9893465332080904
2021-01-21,0.049481562580502736,0.0582894497911749,0.0689074786987538,0.06662542283245357,0.9903976496837474
2021-01-22,0.05116061899679836,0.05992373343017976,0.07072287398055055,0.06587704680842571,0.9895303516867173
2021-01-23,0.052559065984617126,0.0617396041401852,0.07357368315422641,0.05937116457287686,0.9922439547780835
2021-01-24,0.05470733816656237,0.06301071363718902,0.07690570891641879,0.0540427272817985,0.9849624962883228
2021-01-25,0.05665090347035662,0.06573451970219724,0.07958775018701303,0.050590219224283306,0.9902273520527256
2021-01-26,0.058819876347845246,0.0673688033412021,0.08214663650130449,0.04871428999072014,0.9855494093637365
2021-01-27,0.06082094358370438,0.06991102233520974,0.08459833239066572,0.04652903200055879,0.9889807236759127
2021-01-28,0.06325442534869175,0.07118213183221356,0.0864410954405298,0.04895377031840906,0.9795819932502257
2021-01-29,0.06524169212085529,0.07336117668422015,0.0880512324618219,0.05041060897851661,0.9804201510872561
2021-01-30,0.0667160416589998,0.07753767931723266,0.0902338119651882,0.0470279493499107,1.0
2021-01-31,0.06943243292974643,0.07971672416923914,0.09258287872429705,0.048414939581109,0.995165134917932
2021-02-01,0.0722086262098407,0.08153259487924458,0.09459669032458173,0.051548140535038964,0.9872366178413765
2021-02-02,0.07481231369374008,0.08298529144724898,0.09682716342206565,0.05300497919514653,0.9780191569748915
2021-02-03,0.07775641261546384,0.08480116215725442,0.09859694575708366,0.05793428260674337,0.9689372427282237
2021-02-04,0.08073271261914405,0.08661703286725986,0.10026181831451031,0.06346228683756248,0.9596828189162707
2021-02-05,0.08354340705847718,0.08806972943526425,0.10164845189658633,0.06950916511170759,0.9491103808205654
2021-02-06,0.08553297390792336,0.08934083893226807,0.10377857651115685,0.0687508107406927,0.9434278109433061
2021-02-07,0.08852077429801641,0.09115670964227351,0.1057057235125618,0.07318119680293762,0.9342798544417281
2021-02-08,0.09239640451919184,0.09224623206827676,0.10785637395318282,0.08052526018539768,0.9134527401364014
2021-02-09,0.0958074191292827,0.0940621027782822,0.10984053713806119,0.08654220341858167,0.9014042384967782
2021-02-10,0.1000740624884996,0.09696749591429088,0.11225346202266051,0.09433529241545845,0.8909773180283764
2021-02-11,0.10423030213815188,0.09878336662429643,0.11422394132350522,0.10364509015436503,0.8737740897011701
2021-02-12,0.10786212416737206,0.10096241147630292,0.11568583626776618,0.11288503946436233,0.8630483152290429
2021-02-13,0.11071421999779196,0.10295986925730893,0.1183792807750551,0.11336400011974017,0.85669668671206
2021-02-14,0.11634250910830601,0.10495732703831495,0.12113202211315655,0.12562738856681,0.8307890010930272
2021-02-15,0.12166028778566962,0.10822589431632468,0.12371371490083738,0.13722222776574833,0.8161760135708453
2021-02-16,0.127771593125529,0.11149446159433452,0.12663294349468146,0.15078280132113314,0.7962789664915313
2021-02-17,0.13441191624038573,0.113673506446341,0.12958410115127073,0.1665585679076404,0.7656738664906344
2021-02-18,0.13817944282927908,0.11530779008534597,0.13237105219945622,0.1706197551313649,0.751220606738352
2021-02-19,0.1401736098332904,0.11821318322135466,0.1343438121476399,0.1704800582735464,0.7573872262910264
2021-02-20,0.1452337798550032,0.12093698928636287,0.13730637304092386,0.1793208737040622,0.7417363498693437
2021-02-21,0.1542431825709344,0.12293444706736878,0.14114926380703896,0.20148278236227385,0.6954237188625783
2021-02-22,0.16470853420674936,0.12583984020337757,0.14453146381068804,0.23192671901972717,0.6466963692694359
2021-02-23,0.17422855407941706,0.12928999455238788,0.14876206462442298,0.25452767494536854,0.6086332318576533
2021-02-24,0.18348406506458614,0.1332849101143999,0.15288319436588882,0.2764301465819172,0.5765352567584214
2021-02-25,0.19228646082508372,0.1361903032504086,0.15648433651407612,0.2987018170569863,0.5409681192793414
2021-02-26,0.20066794244286612,0.1403668058834211,0.1593123392143626,0.3224602612331241,0.5166205672072213
2021-02-27,0.2066113421410959,0.14490648265843475,0.16489308325275043,0.32357783609567237,0.5094829697295227
2021-02-28,0.21717789717734515,0.14962774650444888,0.1701659399003813,0.3460889868984304,0.47636536344293035
2021-03-01,0.23113476612814188,0.1543490103504631,0.17622561987994667,0.37986569144955445,0.42459540560642406
2021-03-02,0.24292036212416734,0.15961503540947886,0.18280984874746842,0.4018978815969346,0.38976647800497766
2021-03-03,0.25519127442682077,0.166333757036499,0.18654554908865328,0.4384186315694942,0.36174749538058215
2021-03-04,0.26837761748794764,0.17359723987652087,0.18852287033151482,0.4865741341289402,0.33269851908217785
2021-03-05,0.2789211717513709,0.17886326493553661,0.19354029447718435,0.510073141283415,0.30691813980606053
2021-03-06,0.28692774077208993,0.18576357363355733,0.20247359010381505,0.5053434048115589,0.3043237865422581
2021-03-07,0.30142282780701435,0.19211912111857643,0.2128505354959952,0.5224762265883034,0.26512400565237915
2021-03-08,0.3184733007029037,0.20156164881060468,0.22229013483187066,0.5546264605805402,0.23136896440419985
2021-03-09,0.3347394472454275,0.21227528599963685,0.23146745972376792,0.5844517397247972,0.20952500036642352
2021-03-10,0.35003266109741293,0.2231705102596695,0.24019549708989396,0.6120119341029965,0.19403525587708081
2021-03-11,0.36912330254296544,0.23461049573270387,0.24850617599299385,0.6578424818144626,0.16393064846777872
2021-03-12,0.386845398005373,0.24459778463773385,0.25439936871681657,0.7083927876507978,0.1336636121003485
2021-03-13,0.39637691826445365,0.25567459596876707,0.26487666259191,0.7032938523404213,0.14714105655272647
2021-03-14,0.41489944062120476,0.2667514072998003,0.27871563064460214,0.7224921919434827,0.11982754722690192
2021-03-15,0.4365592683914179,0.28164154712184497,0.29040166760933417,0.7645110111059003,0.09864054320178273
2021-03-16,0.45705295697935444,0.2941710550208826,0.3025689211625827,0.7994950956424559,0.071744463727069
2021-03-17,0.4789841938689139,0.30433993099691303,0.31564387235672975,0.8368739834559007,0.028536200490594688
2021-03-18,0.5001265042505427,0.3177773742509533,0.3260983597584338,0.8821158086951315,0.005452484403805968
2021-03-19,0.5170412725867588,0.3312148175049936,0.3340372931452863,0.9200235488988894,0.0
2021-03-20,0.5290131748426747,0.34701289268204105,0.3484099326752905,0.9082091860662362,0.025030432508919453
2021-03-21,0.5492285540794171,0.362992554930089,0.36531637139885786,0.9210612969855414,0.018003195376445902
2021-03-22,0.5705479704118057,0.38278554566914846,0.3814451093798463,0.941896085494477,0.023860098381235595
2021-03-23,0.5912555661870238,0.39949155620119847,0.396609133536463,0.9644671063791572,0.018387582302765715
2021-03-24,0.6122552717771317,0.4183766115852552,0.4155385064496706,0.9717113862917469,0.021345484099879464
2021-03-25,0.6316518235012696,0.4358089704013075,0.4331108941962085,0.978017701587555,0.02394722519941883
2021-03-26,0.6464735215103228,0.4534229162883603,0.4425618967687788,0.9999999999999999,0.04380971478592066
2021-03-27,0.6565915614764657,0.47121844924641376,0.4609279497892682,0.9625612421046329,0.08103180732784843
2021-03-28,0.6731130165973576,0.48610858906845844,0.4824048057800725,0.9394513904826527,0.0826234319656649
2021-03-29,0.6913756302211753,0.5037225349555112,0.5027253735700341,0.9288044942474829,0.08900142930654642
2021-03-30,0.7092035292385823,0.5211548937715635,0.5244713459468335,0.9100452019118512,0.09601382497955235
2021-03-31,0.7243150369852427,0.541311058652624,0.5454350562863763,0.882774379596276,0.12303874657905212
2021-04-01,0.7392241379310345,0.5562011984746686,0.562206936816946,0.8732550365706417,0.12963927673585207
2021-04-02,0.750204706878151,0.5741783185037226,0.5740777062161324,0.8679665126675115,0.1615647190245042
2021-04-03,0.7595016192544068,0.5907027419647721,0.5941223156780819,0.819691269944221,0.19323177432270455
2021-04-04,0.7733756854230303,0.6035954240058108,0.6152616358627232,0.7866828981110989,0.1948878060229431
2021-04-05,0.7884112906193648,0.6184855638278555,0.6357943038552063,0.7612580699881257,0.20011059650681506
2021-04-06,0.8022232547013579,0.6366442709279099,0.6566166140597347,0.7290779009549279,0.22155973790164296
2021-04-07,0.8142572590439039,0.6522607590339569,0.6758493130690215,0.6962790744085335,0.2391661254052746
2021-04-08,0.825240128068303,0.6696931178500092,0.6905458045211552,0.6786672919764112,0.26669231492232637
2021-04-09,0.8339666212784749,0.6844016706010532,0.7005783721651553,0.671822145943303,0.29141708679765976
2021-04-10,0.8412003643322414,0.695660069003087,0.7169602620007662,0.6309109232964467,0.30829596164416273
2021-04-11,0.8488826224561146,0.7074632286181224,0.7350686018719552,0.5843619346019139,0.3254913093405163
2021-04-12,0.8570823979685718,0.7223533684401671,0.7527458993960845,0.5417743496612352,0.35191586814216436
2021-04-13,0.8634996135870165,0.7372435082622117,0.767729752412925,0.5032379735972939,0.3840185648263752
